Vardas         Pavarde                 Galutinis (Vid.)    Galutinis (Med.)
Vardas1753     Pavarde1753                         4.28                4.80
Vardas1754     Pavarde1754                         3.20                2.80
Vardas1757     Pavarde1757                         4.12                4.00
Vardas1760     Pavarde1760                         4.20                4.20
Vardas1763     Pavarde1763                         3.08                3.20
Vardas1764     Pavarde1764                         4.60                4.80
Vardas1766     Pavarde1766                         4.56                4.80
Vardas1770     Pavarde1770                         3.32                3.20
Vardas1771     Pavarde1771                         4.20                4.00
Vardas1773     Pavarde1773                         4.76                4.60
Vardas1775     Pavarde1775                         2.92                3.00
Vardas1779     Pavarde1779                         3.60                4.00
Vardas1781     Pavarde1781                         3.60                3.40
Vardas1786     Pavarde1786                         3.40                3.40
Vardas1791     Pavarde1791                         3.24                3.20
Vardas1793     Pavarde1793                         4.44                5.20
Vardas1796     Pavarde1796                         4.32                4.80
Vardas1798     Pavarde1798                         4.00                4.40
Vardas1799     Pavarde1799                         3.56                3.40
Vardas1804     Pavarde1804                         3.04                3.00
Vardas1812     Pavarde1812                         3.72                3.40
Vardas1813     Pavarde1813                         4.32                4.40
Vardas1818     Pavarde1818                         4.88                4.80
Vardas1822     Pavarde1822                         3.64                3.80
Vardas1825     Pavarde1825                         3.48                3.40
Vardas1826     Pavarde1826                         3.04                3.00
Vardas1827     Pavarde1827                         3.48                3.60
Vardas1831     Pavarde1831                         4.00                3.60
Vardas1833     Pavarde1833                         2.84                2.80
Vardas1834     Pavarde1834                         3.92                3.60
Vardas1836     Pavarde1836                         3.04                3.20
Vardas1841     Pavarde1841                         2.64                2.20
Vardas1842     Pavarde1842                         4.88                5.00
Vardas1844     Pavarde1844                         3.12                3.00
Vardas1845     Pavarde1845                         3.00                3.20
Vardas1849     Pavarde1849                         3.08                3.20
Vardas1850     Pavarde1850                         3.80                3.40
Vardas1852     Pavarde1852                         3.64                3.20
Vardas1853     Pavarde1853                         3.44                3.40
Vardas1854     Pavarde1854                         3.48                3.20
Vardas1855     Pavarde1855                         2.84                3.00
Vardas1856     Pavarde1856                         4.36                4.00
Vardas1857     Pavarde1857                         4.16                4.80
Vardas1861     Pavarde1861                         3.92                4.00
Vardas1866     Pavarde1866                         2.56                2.20
Vardas1867     Pavarde1867                         4.32                4.80
Vardas1868     Pavarde1868                         4.56                4.60
Vardas1873     Pavarde1873                         3.04                3.00
Vardas1880     Pavarde1880                         2.72                2.80
Vardas1884     Pavarde1884                         4.96                4.80
Vardas1890     Pavarde1890                         4.52                4.40
Vardas1891     Pavarde1891                         3.68                3.80
Vardas1893     Pavarde1893                         4.28                4.00
Vardas1897     Pavarde1897                         4.56                4.60
Vardas1900     Pavarde1900                         3.12                3.40
Vardas1901     Pavarde1901                         3.64                3.40
Vardas1902     Pavarde1902                         2.20                1.80
Vardas1903     Pavarde1903                         3.80                3.80
Vardas1904     Pavarde1904                         3.40                3.80
Vardas1907     Pavarde1907                         2.84                2.40
Vardas1908     Pavarde1908                         4.88                5.00
Vardas1910     Pavarde1910                         4.64                4.60
Vardas1911     Pavarde1911                         4.04                4.00
Vardas1913     Pavarde1913                         4.04                4.60
Vardas1915     Pavarde1915                         3.80                3.40
Vardas1924     Pavarde1924                         2.44                2.00
Vardas1925     Pavarde1925                         4.92                4.80
Vardas1927     Pavarde1927                         3.52                3.80
Vardas1928     Pavarde1928                         4.68                4.20
Vardas1929     Pavarde1929                         4.88                4.80
Vardas1931     Pavarde1931                         3.32                3.20
Vardas1934     Pavarde1934                         2.72                2.60
Vardas1935     Pavarde1935                         2.64                2.80
Vardas1937     Pavarde1937                         3.04                2.60
Vardas1938     Pavarde1938                         3.80                3.60
Vardas1939     Pavarde1939                         4.84                5.60
Vardas1940     Pavarde1940                         4.60                4.80
Vardas1942     Pavarde1942                         4.00                4.80
Vardas1943     Pavarde1943                         3.20                3.40
Vardas1944     Pavarde1944                         3.52                3.00
Vardas1951     Pavarde1951                         2.28                2.00
Vardas1952     Pavarde1952                         4.16                4.00
Vardas1954     Pavarde1954                         3.48                4.00
Vardas1957     Pavarde1957                         4.60                4.80
Vardas1959     Pavarde1959                         2.36                2.00
Vardas1960     Pavarde1960                         3.44                3.60
Vardas1962     Pavarde1962                         3.68                3.60
Vardas1965     Pavarde1965                         4.16                4.40
Vardas1966     Pavarde1966                         4.60                4.60
Vardas1968     Pavarde1968                         4.36                4.40
Vardas1969     Pavarde1969                         3.76                4.00
Vardas1971     Pavarde1971                         2.88                3.40
Vardas1972     Pavarde1972                         2.52                2.40
Vardas1974     Pavarde1974                         2.28                2.00
Vardas1978     Pavarde1978                         4.64                4.80
Vardas1979     Pavarde1979                         4.40                4.60
Vardas1981     Pavarde1981                         2.04                1.60
Vardas1984     Pavarde1984                         4.24                4.60
Vardas1986     Pavarde1986                         3.20                3.20
Vardas1988     Pavarde1988                         3.04                3.20
Vardas1989     Pavarde1989                         3.24                3.60
Vardas1993     Pavarde1993                         3.00                3.00
Vardas2001     Pavarde2001                         2.92                2.60
Vardas2002     Pavarde2002                         2.40                2.60
Vardas2004     Pavarde2004                         3.12                2.60
Vardas2008     Pavarde2008                         4.08                4.20
Vardas2010     Pavarde2010                         4.56                4.20
Vardas2016     Pavarde2016                         4.24                3.80
Vardas2018     Pavarde2018                         4.84                4.40
Vardas2020     Pavarde2020                         3.40                3.40
Vardas2023     Pavarde2023                         4.24                3.80
Vardas2025     Pavarde2025                         4.92                4.80
Vardas2028     Pavarde2028                         4.28                4.80
Vardas2030     Pavarde2030                         2.92                2.80
Vardas2033     Pavarde2033                         3.80                3.40
Vardas2034     Pavarde2034                         2.44                2.40
Vardas2035     Pavarde2035                         2.68                2.40
Vardas2037     Pavarde2037                         4.16                4.20
Vardas2038     Pavarde2038                         4.40                4.80
Vardas2045     Pavarde2045                         4.88                4.60
Vardas2046     Pavarde2046                         3.80                3.80
Vardas2049     Pavarde2049                         2.68                2.60
Vardas2051     Pavarde2051                         4.36                4.40
Vardas2053     Pavarde2053                         4.24                4.40
Vardas2057     Pavarde2057                         4.00                4.20
Vardas2058     Pavarde2058                         4.80                5.00
Vardas2060     Pavarde2060                         4.96                4.80
Vardas2061     Pavarde2061                         4.32                4.20
Vardas2063     Pavarde2063                         4.56                4.80
Vardas2066     Pavarde2066                         2.52                2.20
Vardas2067     Pavarde2067                         3.76                3.40
Vardas2070     Pavarde2070                         3.80                3.00
Vardas2071     Pavarde2071                         2.28                2.20
Vardas2076     Pavarde2076                         3.84                3.80
Vardas2077     Pavarde2077                         4.56                4.20
Vardas2078     Pavarde2078                         3.48                3.60
Vardas2085     Pavarde2085                         3.64                3.60
Vardas2086     Pavarde2086                         3.32                3.60
Vardas2088     Pavarde2088                         2.92                3.00
Vardas2089     Pavarde2089                         3.44                3.60
Vardas2096     Pavarde2096                         3.56                3.60
Vardas2097     Pavarde2097                         4.68                4.40
Vardas2098     Pavarde2098                         3.32                2.80
Vardas2099     Pavarde2099                         4.00                3.80
Vardas2105     Pavarde2105                         3.20                3.00
Vardas2106     Pavarde2106                         4.12                4.20
Vardas2107     Pavarde2107                         3.72                3.40
Vardas2109     Pavarde2109                         4.88                4.60
Vardas2111     Pavarde2111                         4.68                4.60
Vardas2112     Pavarde2112                         3.44                3.40
Vardas2113     Pavarde2113                         4.12                4.20
Vardas2114     Pavarde2114                         3.20                2.80
Vardas2116     Pavarde2116                         3.04                3.20
Vardas2118     Pavarde2118                         4.24                4.40
Vardas2120     Pavarde2120                         3.20                3.20
Vardas2121     Pavarde2121                         2.04                2.00
Vardas2122     Pavarde2122                         3.68                3.60
Vardas2125     Pavarde2125                         2.28                2.20
Vardas2126     Pavarde2126                         4.96                5.40
Vardas2130     Pavarde2130                         3.72                3.80
Vardas2131     Pavarde2131                         4.60                4.80
Vardas2132     Pavarde2132                         3.24                3.00
Vardas2133     Pavarde2133                         4.16                4.40
Vardas2137     Pavarde2137                         2.60                2.20
Vardas2142     Pavarde2142                         3.72                3.60
Vardas2145     Pavarde2145                         3.40                2.80
Vardas2146     Pavarde2146                         2.88                2.80
Vardas2149     Pavarde2149                         4.60                4.60
Vardas2150     Pavarde2150                         3.04                3.00
Vardas2155     Pavarde2155                         2.76                2.60
Vardas2159     Pavarde2159                         4.20                4.00
Vardas2163     Pavarde2163                         3.36                3.40
Vardas2165     Pavarde2165                         4.36                5.00
Vardas2166     Pavarde2166                         4.04                3.60
Vardas2167     Pavarde2167                         2.44                2.40
Vardas2169     Pavarde2169                         4.52                4.40
Vardas2170     Pavarde2170                         4.76                5.00
Vardas2175     Pavarde2175                         4.84                4.80
Vardas2177     Pavarde2177                         3.88                3.80
Vardas2178     Pavarde2178                         4.24                4.40
Vardas2180     Pavarde2180                         3.00                3.20
Vardas2181     Pavarde2181                         4.92                4.80
Vardas2185     Pavarde2185                         3.16                3.40
Vardas2186     Pavarde2186                         4.28                5.00
Vardas2187     Pavarde2187                         3.72                3.60
Vardas2188     Pavarde2188                         4.16                4.00
Vardas2191     Pavarde2191                         3.52                4.00
Vardas2193     Pavarde2193                         4.12                4.00
Vardas2194     Pavarde2194                         3.12                3.60
Vardas2197     Pavarde2197                         4.44                4.00
Vardas2204     Pavarde2204                         2.44                2.40
Vardas2208     Pavarde2208                         2.96                3.20
Vardas2209     Pavarde2209                         2.72                3.00
Vardas2214     Pavarde2214                         3.48                3.40
Vardas2215     Pavarde2215                         3.84                3.40
Vardas2217     Pavarde2217                         2.88                3.00
Vardas2220     Pavarde2220                         4.60                5.00
Vardas2221     Pavarde2221                         2.92                3.00
Vardas2222     Pavarde2222                         3.00                3.00
Vardas2225     Pavarde2225                         4.72                4.60
Vardas2226     Pavarde2226                         3.04                3.00
Vardas2227     Pavarde2227                         4.56                4.80
Vardas2230     Pavarde2230                         4.00                3.60
Vardas2236     Pavarde2236                         2.84                3.20
Vardas2237     Pavarde2237                         4.64                4.80
Vardas2240     Pavarde2240                         4.64                4.60
Vardas2242     Pavarde2242                         3.00                2.80
Vardas2244     Pavarde2244                         3.08                3.00
Vardas2249     Pavarde2249                         2.20                2.20
Vardas2251     Pavarde2251                         3.56                3.60
Vardas2252     Pavarde2252                         3.96                4.20
Vardas2253     Pavarde2253                         3.20                3.40
Vardas2255     Pavarde2255                         2.56                2.20
Vardas2258     Pavarde2258                         3.28                2.80
Vardas2259     Pavarde2259                         3.32                3.60
Vardas2260     Pavarde2260                         4.68                4.60
Vardas2262     Pavarde2262                         4.36                4.60
Vardas2264     Pavarde2264                         4.84                5.40
Vardas2266     Pavarde2266                         4.20                4.40
Vardas2268     Pavarde2268                         4.92                5.00
Vardas2270     Pavarde2270                         3.00                3.20
Vardas2271     Pavarde2271                         4.52                4.40
Vardas2272     Pavarde2272                         3.16                3.60
Vardas2275     Pavarde2275                         3.72                3.60
Vardas2281     Pavarde2281                         4.76                4.80
Vardas2282     Pavarde2282                         3.76                3.80
Vardas2287     Pavarde2287                         2.60                2.40
Vardas2288     Pavarde2288                         3.80                3.40
Vardas2289     Pavarde2289                         3.68                3.80
Vardas2292     Pavarde2292                         4.48                4.40
Vardas2293     Pavarde2293                         4.20                4.40
Vardas2297     Pavarde2297                         2.68                2.80
Vardas2302     Pavarde2302                         3.60                3.80
Vardas2303     Pavarde2303                         4.48                4.60
Vardas2305     Pavarde2305                         3.08                3.20
Vardas2308     Pavarde2308                         3.40                3.60
Vardas2309     Pavarde2309                         3.04                2.80
Vardas2311     Pavarde2311                         3.40                3.20
Vardas2314     Pavarde2314                         4.20                4.20
Vardas2315     Pavarde2315                         3.08                2.80
Vardas2318     Pavarde2318                         3.84                3.60
Vardas2319     Pavarde2319                         4.60                4.80
Vardas2320     Pavarde2320                         4.40                4.60
Vardas2322     Pavarde2322                         4.48                4.40
Vardas2323     Pavarde2323                         3.84                4.00
Vardas2325     Pavarde2325                         3.96                4.00
Vardas2327     Pavarde2327                         3.52                3.80
Vardas2328     Pavarde2328                         3.64                3.60
Vardas2329     Pavarde2329                         4.76                4.80
Vardas2331     Pavarde2331                         4.36                4.40
Vardas2332     Pavarde2332                         3.92                3.80
Vardas2336     Pavarde2336                         4.12                3.80
Vardas2337     Pavarde2337                         3.88                3.40
Vardas2338     Pavarde2338                         3.56                3.80
Vardas2341     Pavarde2341                         3.24                3.20
Vardas2342     Pavarde2342                         2.84                3.00
Vardas2344     Pavarde2344                         4.16                4.00
Vardas2346     Pavarde2346                         2.72                2.00
Vardas2351     Pavarde2351                         2.52                2.00
Vardas2353     Pavarde2353                         3.16                3.20
Vardas2354     Pavarde2354                         3.28                3.40
Vardas2355     Pavarde2355                         3.68                3.80
Vardas2356     Pavarde2356                         3.36                3.20
Vardas2358     Pavarde2358                         3.48                3.80
Vardas2360     Pavarde2360                         4.08                3.80
Vardas2361     Pavarde2361                         3.40                3.40
Vardas2362     Pavarde2362                         4.52                4.20
Vardas2366     Pavarde2366                         3.56                3.20
Vardas2367     Pavarde2367                         4.36                3.60
Vardas2368     Pavarde2368                         3.64                3.80
Vardas2369     Pavarde2369                         2.92                3.00
Vardas2370     Pavarde2370                         4.84                4.20
Vardas2372     Pavarde2372                         4.08                4.60
Vardas2373     Pavarde2373                         4.00                4.40
Vardas2374     Pavarde2374                         4.36                4.00
Vardas2375     Pavarde2375                         4.36                4.40
Vardas2376     Pavarde2376                         4.32                4.20
Vardas2377     Pavarde2377                         2.32                2.60
Vardas2381     Pavarde2381                         4.68                5.20
Vardas2385     Pavarde2385                         3.84                3.40
Vardas2386     Pavarde2386                         4.40                5.00
Vardas2387     Pavarde2387                         3.08                2.60
Vardas2388     Pavarde2388                         4.68                4.40
Vardas2389     Pavarde2389                         3.76                4.20
Vardas2391     Pavarde2391                         2.88                2.80
Vardas2392     Pavarde2392                         2.80                3.20
Vardas2394     Pavarde2394                         3.36                3.60
Vardas2398     Pavarde2398                         3.88                4.20
Vardas2399     Pavarde2399                         4.92                4.40
Vardas2406     Pavarde2406                         3.44                3.60
Vardas2409     Pavarde2409                         3.92                3.80
Vardas2414     Pavarde2414                         4.60                5.00
Vardas2415     Pavarde2415                         2.64                3.00
Vardas2417     Pavarde2417                         3.96                3.40
Vardas2418     Pavarde2418                         4.20                4.00
Vardas2421     Pavarde2421                         4.20                4.20
Vardas2422     Pavarde2422                         2.68                2.80
Vardas2423     Pavarde2423                         4.64                4.80
Vardas2425     Pavarde2425                         3.60                3.80
Vardas2426     Pavarde2426                         4.04                4.20
Vardas2428     Pavarde2428                         4.48                4.80
Vardas2432     Pavarde2432                         2.84                2.80
Vardas2433     Pavarde2433                         4.92                5.20
Vardas2437     Pavarde2437                         2.92                3.20
Vardas2439     Pavarde2439                         3.64                3.40
Vardas2440     Pavarde2440                         4.76                4.40
Vardas2441     Pavarde2441                         4.24                4.40
Vardas2442     Pavarde2442                         3.56                3.80
Vardas2443     Pavarde2443                         3.96                4.80
Vardas2445     Pavarde2445                         3.12                3.40
Vardas2449     Pavarde2449                         4.92                5.20
Vardas2456     Pavarde2456                         3.20                3.40
Vardas2457     Pavarde2457                         2.68                2.80
Vardas2460     Pavarde2460                         3.84                4.00
Vardas2462     Pavarde2462                         3.16                3.20
Vardas2465     Pavarde2465                         4.64                4.40
Vardas2466     Pavarde2466                         3.24                3.00
Vardas2467     Pavarde2467                         4.52                4.80
Vardas2468     Pavarde2468                         4.20                4.00
Vardas2469     Pavarde2469                         3.88                4.00
Vardas2472     Pavarde2472                         4.96                5.20
Vardas2473     Pavarde2473                         4.28                4.00
Vardas2477     Pavarde2477                         3.40                3.60
Vardas2481     Pavarde2481                         4.96                5.20
Vardas2485     Pavarde2485                         2.88                2.80
Vardas2486     Pavarde2486                         4.16                4.20
Vardas2487     Pavarde2487                         4.44                4.60
Vardas2488     Pavarde2488                         3.64                3.00
Vardas2490     Pavarde2490                         4.60                4.60
Vardas2491     Pavarde2491                         4.36                4.00
Vardas2492     Pavarde2492                         3.40                3.40
Vardas2494     Pavarde2494                         4.04                4.20
Vardas2495     Pavarde2495                         3.32                3.00
Vardas2497     Pavarde2497                         3.24                3.20
Vardas2504     Pavarde2504                         2.68                2.60
Vardas2506     Pavarde2506                         3.88                3.80
Vardas2508     Pavarde2508                         4.28                4.00
Vardas2510     Pavarde2510                         4.48                4.20
Vardas2511     Pavarde2511                         4.72                4.60
Vardas2512     Pavarde2512                         4.64                4.40
Vardas2513     Pavarde2513                         4.16                4.40
Vardas2515     Pavarde2515                         2.88                2.40
Vardas2516     Pavarde2516                         2.76                3.00
Vardas2518     Pavarde2518                         4.24                4.20
Vardas2519     Pavarde2519                         3.80                3.80
Vardas2524     Pavarde2524                         4.56                4.40
Vardas2526     Pavarde2526                         3.52                3.80
Vardas2527     Pavarde2527                         4.00                4.40
Vardas2530     Pavarde2530                         4.80                4.40
Vardas2535     Pavarde2535                         2.16                2.20
Vardas2536     Pavarde2536                         3.76                3.80
Vardas2541     Pavarde2541                         2.92                3.00
Vardas2543     Pavarde2543                         4.48                4.20
Vardas2548     Pavarde2548                         4.32                4.40
Vardas2549     Pavarde2549                         4.68                4.40
Vardas2550     Pavarde2550                         4.36                4.40
Vardas2551     Pavarde2551                         3.72                3.40
Vardas2552     Pavarde2552                         3.96                3.80
Vardas2557     Pavarde2557                         4.40                4.20
Vardas2558     Pavarde2558                         3.56                3.60
Vardas2560     Pavarde2560                         4.56                4.60
Vardas2564     Pavarde2564                         2.88                3.20
Vardas2570     Pavarde2570                         2.52                2.40
Vardas2571     Pavarde2571                         4.44                4.60
Vardas2574     Pavarde2574                         4.12                4.00
Vardas2576     Pavarde2576                         3.88                3.60
Vardas2577     Pavarde2577                         4.80                4.80
Vardas2582     Pavarde2582                         4.80                5.20
Vardas2585     Pavarde2585                         2.88                2.80
Vardas2586     Pavarde2586                         3.36                3.60
Vardas2587     Pavarde2587                         2.68                2.80
Vardas2595     Pavarde2595                         4.52                4.40
Vardas2596     Pavarde2596                         4.84                5.00
Vardas2597     Pavarde2597                         3.80                3.40
Vardas2598     Pavarde2598                         2.96                2.60
Vardas2599     Pavarde2599                         4.88                4.60
Vardas2603     Pavarde2603                         3.12                2.80
Vardas2607     Pavarde2607                         4.76                4.80
Vardas2608     Pavarde2608                         3.60                3.60
Vardas2610     Pavarde2610                         2.56                2.20
Vardas2611     Pavarde2611                         4.76                4.40
Vardas2613     Pavarde2613                         4.36                4.20
Vardas2616     Pavarde2616                         4.72                4.40
Vardas2618     Pavarde2618                         4.64                4.60
Vardas2624     Pavarde2624                         4.24                4.00
Vardas2627     Pavarde2627                         4.36                4.80
Vardas2628     Pavarde2628                         4.00                4.00
Vardas2629     Pavarde2629                         3.76                3.80
Vardas2630     Pavarde2630                         4.80                4.80
Vardas2631     Pavarde2631                         3.08                3.00
Vardas2632     Pavarde2632                         2.32                2.00
Vardas2633     Pavarde2633                         2.64                2.20
Vardas2638     Pavarde2638                         4.88                4.80
Vardas2639     Pavarde2639                         4.88                5.00
Vardas2642     Pavarde2642                         4.12                3.80
Vardas2643     Pavarde2643                         4.08                4.00
Vardas2645     Pavarde2645                         3.76                3.80
Vardas2648     Pavarde2648                         2.76                2.20
Vardas2650     Pavarde2650                         4.68                4.80
Vardas2651     Pavarde2651                         3.84                3.60
Vardas2656     Pavarde2656                         2.88                2.60
Vardas2660     Pavarde2660                         3.92                4.00
Vardas2665     Pavarde2665                         2.32                2.40
Vardas2668     Pavarde2668                         3.96                3.60
Vardas2671     Pavarde2671                         3.76                4.00
Vardas2672     Pavarde2672                         2.64                3.00
Vardas2673     Pavarde2673                         4.96                5.00
Vardas2675     Pavarde2675                         2.56                2.60
Vardas2679     Pavarde2679                         3.16                2.40
Vardas2681     Pavarde2681                         4.64                4.20
Vardas2682     Pavarde2682                         3.28                3.40
Vardas2683     Pavarde2683                         3.68                3.60
Vardas2685     Pavarde2685                         2.60                2.60
Vardas2688     Pavarde2688                         4.00                3.80
Vardas2690     Pavarde2690                         4.84                4.80
Vardas2692     Pavarde2692                         2.64                2.40
Vardas2694     Pavarde2694                         4.64                4.80
Vardas2696     Pavarde2696                         3.28                3.40
Vardas2699     Pavarde2699                         3.60                3.40
Vardas2701     Pavarde2701                         2.60                3.00
Vardas2702     Pavarde2702                         3.24                3.20
Vardas2704     Pavarde2704                         3.88                4.40
Vardas2706     Pavarde2706                         3.24                3.40
Vardas2708     Pavarde2708                         3.32                3.20
Vardas2712     Pavarde2712                         2.28                1.80
Vardas2714     Pavarde2714                         3.40                3.40
Vardas2716     Pavarde2716                         2.88                2.80
Vardas2718     Pavarde2718                         2.92                3.00
Vardas2720     Pavarde2720                         3.60                3.40
Vardas2721     Pavarde2721                         3.48                3.40
Vardas2729     Pavarde2729                         3.28                3.00
Vardas2730     Pavarde2730                         3.76                3.20
Vardas2731     Pavarde2731                         3.04                3.40
Vardas2738     Pavarde2738                         3.72                4.00
Vardas2739     Pavarde2739                         4.88                5.40
Vardas2740     Pavarde2740                         4.64                5.00
Vardas2741     Pavarde2741                         2.48                2.40
Vardas2742     Pavarde2742                         3.84                3.80
Vardas2744     Pavarde2744                         2.76                2.40
Vardas2745     Pavarde2745                         4.96                5.00
Vardas2748     Pavarde2748                         4.64                4.40
Vardas2750     Pavarde2750                         2.80                2.60
Vardas2751     Pavarde2751                         3.84                4.00
Vardas2752     Pavarde2752                         3.20                2.80
Vardas2754     Pavarde2754                         4.96                4.60
Vardas2755     Pavarde2755                         2.36                2.00
Vardas2757     Pavarde2757                         3.52                3.40
Vardas2760     Pavarde2760                         2.84                3.40
Vardas2764     Pavarde2764                         3.44                2.80
Vardas2765     Pavarde2765                         4.84                5.40
Vardas2766     Pavarde2766                         3.44                3.80
Vardas2767     Pavarde2767                         3.88                4.00
Vardas2770     Pavarde2770                         4.16                4.20
Vardas2772     Pavarde2772                         2.92                2.80
Vardas2776     Pavarde2776                         2.72                2.60
Vardas2777     Pavarde2777                         4.88                4.60
Vardas2781     Pavarde2781                         4.72                4.40
Vardas2785     Pavarde2785                         4.12                4.00
Vardas2794     Pavarde2794                         4.00                3.80
Vardas2796     Pavarde2796                         4.28                4.40
Vardas2798     Pavarde2798                         2.24                2.00
Vardas2804     Pavarde2804                         3.72                3.60
Vardas2805     Pavarde2805                         3.40                3.20
Vardas2807     Pavarde2807                         4.00                3.80
Vardas2808     Pavarde2808                         4.08                3.80
Vardas2809     Pavarde2809                         3.44                3.40
Vardas2810     Pavarde2810                         4.96                5.00
Vardas2818     Pavarde2818                         4.68                4.80
Vardas2820     Pavarde2820                         4.24                4.20
Vardas2821     Pavarde2821                         3.04                3.00
Vardas2822     Pavarde2822                         4.68                4.40
Vardas2829     Pavarde2829                         2.80                2.80
Vardas2830     Pavarde2830                         4.48                4.60
Vardas2832     Pavarde2832                         2.68                3.00
Vardas2837     Pavarde2837                         3.80                3.40
Vardas2839     Pavarde2839                         4.12                4.40
Vardas2847     Pavarde2847                         4.52                4.60
Vardas2848     Pavarde2848                         4.40                4.20
Vardas2849     Pavarde2849                         3.68                3.80
Vardas2856     Pavarde2856                         3.44                3.60
Vardas2857     Pavarde2857                         4.16                4.20
Vardas2860     Pavarde2860                         2.60                2.40
Vardas2861     Pavarde2861                         3.28                3.00
Vardas2863     Pavarde2863                         3.04                2.60
Vardas2866     Pavarde2866                         3.96                4.60
Vardas2874     Pavarde2874                         4.08                4.20
Vardas2876     Pavarde2876                         2.52                2.20
Vardas2877     Pavarde2877                         2.52                2.40
Vardas2880     Pavarde2880                         4.52                4.40
Vardas2881     Pavarde2881                         2.48                3.00
Vardas2883     Pavarde2883                         2.48                2.40
Vardas2884     Pavarde2884                         3.64                3.20
Vardas2885     Pavarde2885                         3.80                3.80
Vardas2893     Pavarde2893                         3.56                3.80
Vardas2894     Pavarde2894                         4.24                3.80
Vardas2895     Pavarde2895                         4.88                4.80
Vardas2897     Pavarde2897                         4.36                4.20
Vardas2898     Pavarde2898                         3.68                3.80
Vardas2902     Pavarde2902                         2.96                2.60
Vardas2905     Pavarde2905                         4.44                3.80
Vardas2907     Pavarde2907                         3.60                4.00
Vardas2909     Pavarde2909                         4.44                4.80
Vardas2911     Pavarde2911                         4.48                4.80
Vardas2914     Pavarde2914                         4.32                4.00
Vardas2916     Pavarde2916                         4.68                4.60
Vardas2917     Pavarde2917                         3.28                3.20
Vardas2919     Pavarde2919                         3.84                3.60
Vardas2925     Pavarde2925                         4.96                4.80
Vardas2927     Pavarde2927                         3.68                3.60
Vardas2933     Pavarde2933                         3.48                3.20
Vardas2937     Pavarde2937                         2.32                2.20
Vardas2941     Pavarde2941                         3.44                3.40
Vardas2944     Pavarde2944                         4.92                5.40
Vardas2947     Pavarde2947                         3.68                3.60
Vardas2949     Pavarde2949                         4.28                4.20
Vardas2950     Pavarde2950                         3.04                3.40
Vardas2954     Pavarde2954                         3.48                3.40
Vardas2955     Pavarde2955                         4.68                5.20
Vardas2958     Pavarde2958                         4.56                4.40
Vardas2960     Pavarde2960                         3.36                3.40
Vardas2971     Pavarde2971                         3.48                3.60
Vardas2973     Pavarde2973                         4.04                4.00
Vardas2975     Pavarde2975                         2.32                2.20
Vardas2976     Pavarde2976                         4.84                4.40
Vardas2981     Pavarde2981                         3.84                3.40
Vardas2984     Pavarde2984                         4.92                5.00
Vardas2987     Pavarde2987                         4.40                4.60
Vardas2988     Pavarde2988                         4.80                4.80
Vardas2990     Pavarde2990                         4.36                4.80
Vardas2991     Pavarde2991                         4.56                4.60
Vardas2995     Pavarde2995                         4.12                4.20
Vardas2998     Pavarde2998                         4.84                5.40
Vardas2999     Pavarde2999                         4.16                4.20
Vardas3000     Pavarde3000                         3.04                2.80
Vardas3001     Pavarde3001                         2.48                2.20
Vardas3003     Pavarde3003                         4.56                4.40
Vardas3004     Pavarde3004                         3.96                4.40
Vardas3009     Pavarde3009                         3.88                3.60
Vardas3013     Pavarde3013                         4.08                4.20
Vardas3014     Pavarde3014                         4.56                4.00
Vardas3017     Pavarde3017                         3.44                3.80
Vardas3022     Pavarde3022                         2.72                2.60
Vardas3024     Pavarde3024                         3.08                2.80
Vardas3027     Pavarde3027                         2.88                2.80
Vardas3028     Pavarde3028                         3.76                3.40
Vardas3029     Pavarde3029                         3.24                2.80
Vardas3031     Pavarde3031                         2.36                2.40
Vardas3032     Pavarde3032                         4.36                4.20
Vardas3035     Pavarde3035                         4.24                4.00
Vardas3037     Pavarde3037                         4.32                4.60
Vardas3038     Pavarde3038                         4.36                4.60
Vardas3044     Pavarde3044                         3.44                3.60
Vardas3049     Pavarde3049                         3.68                3.40
Vardas3055     Pavarde3055                         4.32                4.20
Vardas3058     Pavarde3058                         2.88                2.80
Vardas3059     Pavarde3059                         4.92                5.00
Vardas3060     Pavarde3060                         4.68                4.40
Vardas3061     Pavarde3061                         2.80                2.80
Vardas3062     Pavarde3062                         2.76                2.60
Vardas3064     Pavarde3064                         3.80                3.60
Vardas3067     Pavarde3067                         4.24                4.20
Vardas3068     Pavarde3068                         4.00                3.80
Vardas3069     Pavarde3069                         4.16                4.00
Vardas3073     Pavarde3073                         3.44                4.00
Vardas3076     Pavarde3076                         4.44                4.60
Vardas3078     Pavarde3078                         4.08                3.80
Vardas3083     Pavarde3083                         3.12                3.20
Vardas3085     Pavarde3085                         4.64                4.40
Vardas3086     Pavarde3086                         4.88                5.20
Vardas3088     Pavarde3088                         2.84                3.00
Vardas3089     Pavarde3089                         3.12                3.20
Vardas3097     Pavarde3097                         3.68                3.60
Vardas3103     Pavarde3103                         4.28                4.40
Vardas3111     Pavarde3111                         3.80                3.40
Vardas3113     Pavarde3113                         3.12                3.60
Vardas3116     Pavarde3116                         4.28                4.40
Vardas3117     Pavarde3117                         4.88                5.20
Vardas3120     Pavarde3120                         3.40                4.00
Vardas3122     Pavarde3122                         4.00                4.60
Vardas3123     Pavarde3123                         4.28                4.20
Vardas3124     Pavarde3124                         4.20                4.20
